City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Paris,1924,Aquatics,Swimming,"MORTON, Lucille",GBR,Women,200m breaststroke,W,Gold
Paris,1924,Aquatics,Swimming,"GERAGHTY, Agnes",USA,Women,200m breaststroke,W,Silver
Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Bronze
Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,400m freestyle,M,Gold
Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,400m freestyle,M,Silver
Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,400m freestyle,W,Bronze
Paris,1924,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,400m freestyle,W,Gold
Paris,1924,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,400m freestyle,W,Silver
Paris,1924,Aquatics,Swimming,"BERG, Aina",SWE,Women,4x100m freestyle relay,W,Bronze
Paris,1924,Aquatics,Swimming,"EWERLUND, Gurli",SWE,Women,4x100m freestyle relay,W,Bronze
Paris,1924,Aquatics,Swimming,"GYLLING, Jane",SWE,Women,4x100m freestyle relay,W,Bronze
Paris,1924,Aquatics,Swimming,"PETTERSSON, Wivan",SWE,Women,4x100m freestyle relay,W,Bronze
Paris,1924,Aquatics,Swimming,"TÖPEL, Hjördis",SWE,Women,4x100m freestyle relay,W,Bronze
Paris,1924,Aquatics,Swimming,"DONNELLY, Euphrasia",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"LACKIE, Ethel",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"NORELIUS, Martha",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"WAINWRIGHT, Helen",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,4x100m freestyle relay,W,Gold
Paris,1924,Aquatics,Swimming,"BARKER, Florence",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"GANT, P.",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"HATCH, J. E.",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"JEANS, Constance Mabel",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"MAC KENZIE, Grace",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"TANNER, Irene Vera",GBR,Women,4x100m freestyle relay,W,Silver
Paris,1924,Aquatics,Swimming,"BORG, Ake",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"HENNING, Tor",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"PERSSON, O. Gösta A.",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"TROLLE, Orvar",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"WERNER, Georg",SWE,Men,4x200m freestyle relay,M,Bronze
Paris,1924,Aquatics,Swimming,"BREYER, Ralph",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"GLANCY, Harrison Smith",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"HOWELL, Richard",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"O'CONNOR, James Wallace",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"SMITH, Lester",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,4x200m freestyle relay,M,Gold
Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,4x200m freestyle relay,M,Silver
Paris,1924,Aquatics,Swimming,"CHRISTIE, Maurice F.",AUS,Men,4x200m freestyle relay,M,Silver
Paris,1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,4x200m freestyle relay,M,Silver
Paris,1924,Aquatics,Swimming,"HENRY, Ernest M.",AUS,Men,4x200m freestyle relay,M,Silver
Paris,1924,Aquatics,Swimming,"STEDMAN, Ivan",AUS,Men,4x200m freestyle relay,M,Silver
Paris,1924,Aquatics,Water polo,"AUSTIN, Arthur",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"COLLETT, E.",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"HANDY, J.",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"HORN, Oliver",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"LAUER, Frederick",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"MITCHELL, George F.",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"NORTON, John",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"O'CONNOR, James Wallace",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"SCHROTH, George E.",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"VOLLMER, Herbert Eberhard",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"WEISSMULLER, Johnny",USA,Men,water polo,M,Bronze
Paris,1924,Aquatics,Water polo,"BERTRAND, R.",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"DEBORGIES, Albert",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"DELBERGHE, Noël",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"DESMETTRE, Robert",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"DUJARDIN, Paul",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"FASANI, A.",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"LASQUIN, Jean",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"MAYAUD, Albert",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"PADOU SR., Henri",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"PEROL, J.",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"RIGAL, Georges",FRA,Men,water polo,M,Gold
Paris,1924,Aquatics,Water polo,"BLITZ, Gerard",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"BLITZ, Maurice",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"CLUDTS, Joseph",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"DE COMBE, Joseph",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"DEWIN, Pierre",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"DURANT, Albert",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"FLEURIX, Georges",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"GAILLY, Paul",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"PLETINCX, Joseph",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"THIRY, Jules",BEL,Men,water polo,M,Silver
Paris,1924,Aquatics,Water polo,"VERMETTEN, Jean-Pierre",BEL,Men,water polo,M,Silver
Paris,1924,Athletics,Athletics,"BERG, Eero",FIN,Men,10000m,M,Bronze
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,10000m,M,Gold
Paris,1924,Athletics,Athletics,"WIDE, Edvin",SWE,Men,10000m,M,Silver
Paris,1924,Athletics,Athletics,"MACMASTER, Cecil",RSA,Men,10000m walk,M,Bronze
Paris,1924,Athletics,Athletics,"FRIGERIO, Ugo",ITA,Men,10000m walk,M,Gold
Paris,1924,Athletics,Athletics,"GOODWIN, Gordon",GBR,Men,10000m walk,M,Silver
Paris,1924,Athletics,Athletics,"PORRITT, Arthur",NZL,Men,100m,M,Bronze
Paris,1924,Athletics,Athletics,"ABRAHAMS, Harold",GBR,Men,100m,M,Gold
Paris,1924,Athletics,Athletics,"SCHOLZ, Jackson",USA,Men,100m,M,Silver
Paris,1924,Athletics,Athletics,"PETTERSSON, Sten",SWE,Men,110m hurdles,M,Bronze
Paris,1924,Athletics,Athletics,"KINSEY, Daniel",USA,Men,110m hurdles,M,Gold
Paris,1924,Athletics,Athletics,"ATKINSON, Sidney",RSA,Men,110m hurdles,M,Silver
Paris,1924,Athletics,Athletics,"STALLARD, Henry B.",GBR,Men,1500m,M,Bronze
Paris,1924,Athletics,Athletics,"NURMI, Paavo",FIN,Men,1500m,M,Gold
Paris,1924,Athletics,Athletics,"SCHÄRER, Wilhelm",SUI,Men,1500m,M,Silver
Paris,1924,Athletics,Athletics,"LIDDELL, Eric Henry",GBR,Men,200m,M,Bronze
Paris,1924,Athletics,Athletics,"SCHOLZ, Jackson",USA,Men,200m,M,Gold
Paris,1924,Athletics,Athletics,"PADDOCK, Charles",USA,Men,200m,M,Silver
Paris,1924,Athletics,Athletics,"BONTEMPS, Paul",FRA,Men,3000m steeplechase,M,Bronze
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,3000m steeplechase,M,Gold
Paris,1924,Athletics,Athletics,"KATZ, Elias",FIN,Men,3000m steeplechase,M,Silver
Paris,1924,Athletics,Athletics,"CONNOLLY, James",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"COX, William",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"KIRBY, Edward",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"LARRIVEE, Leo",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"RAY, Joseph",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"TIBBETTS, Willard",USA,Men,3000m team,M,Bronze
Paris,1924,Athletics,Athletics,"KATZ, Elias",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"LIEWENDHAL, Frej",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"NURMI, Paavo",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"SEPPÄLÄ, Eino",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"TALJA, S.",FIN,Men,3000m team,M,Gold
Paris,1924,Athletics,Athletics,"CLARK, Arthur",GBR,Men,3000m team,M,Silver
Paris,1924,Athletics,Athletics,"MACDONALD, Bernard",GBR,Men,3000m team,M,Silver
Paris,1924,Athletics,Athletics,"PORTER, Walter Harold",GBR,Men,3000m team,M,Silver
Paris,1924,Athletics,Athletics,"SEAGROVE, William Raymond",GBR,Men,3000m team,M,Silver
Paris,1924,Athletics,Athletics,"WEBBER, George J.",GBR,Men,3000m team,M,Silver
Paris,1924,Athletics,Athletics,"BUTLER, Guy Montagu",GBR,Men,400m,M,Bronze
Paris,1924,Athletics,Athletics,"LIDDELL, Eric Henry",GBR,Men,400m,M,Gold
Paris,1924,Athletics,Athletics,"FITCH, Horatio",USA,Men,400m,M,Silver
Paris,1924,Athletics,Athletics,"RILEY, Ivan",USA,Men,400m hurdles,M,Bronze
Paris,1924,Athletics,Athletics,"TAYLOR, Frederick Morgan",USA,Men,400m hurdles,M,Gold
Paris,1924,Athletics,Athletics,"VILEN, Erik Vilhelm",FIN,Men,400m hurdles,M,Silver
Paris,1924,Athletics,Athletics,"BOOT, Jacobus",NED,Men,4x100m relay,M,Bronze
Paris,1924,Athletics,Athletics,"BROOS, Henricus Adrianus",NED,Men,4x100m relay,M,Bronze
Paris,1924,Athletics,Athletics,"DE VRIES, Jan Cornelis",NED,Men,4x100m relay,M,Bronze
Paris,1924,Athletics,Athletics,"VAN DEN BERGE, Marinus",NED,Men,4x100m relay,M,Bronze
Paris,1924,Athletics,Athletics,"CLARKE, Louis Alfred",USA,Men,4x100m relay,M,Gold
Paris,1924,Athletics,Athletics,"HUSSEY, Francis",USA,Men,4x100m relay,M,Gold
Paris,1924,Athletics,Athletics,"LECONEY, Jeremiah Alfred",USA,Men,4x100m relay,M,Gold
Paris,1924,Athletics,Athletics,"MURCHISON, Loren",USA,Men,4x100m relay,M,Gold
Paris,1924,Athletics,Athletics,"ABRAHAMS, Harold",GBR,Men,4x100m relay,M,Silver
Paris,1924,Athletics,Athletics,"NICHOL, William Peter",GBR,Men,4x100m relay,M,Silver
Paris,1924,Athletics,Athletics,"RANGELEY, Walter",GBR,Men,4x100m relay,M,Silver
Paris,1924,Athletics,Athletics,"ROYLE, Lancelot Carrington",GBR,Men,4x100m relay,M,Silver
Paris,1924,Athletics,Athletics,"BUTLER, Guy Montagu",GBR,Men,4x400m relay,M,Bronze
Paris,1924,Athletics,Athletics,"RENWICK, George Russell",GBR,Men,4x400m relay,M,Bronze
Paris,1924,Athletics,Athletics,"RIPLEY, Richard N.",GBR,Men,4x400m relay,M,Bronze
Paris,1924,Athletics,Athletics,"TOMS, Edward James",GBR,Men,4x400m relay,M,Bronze
Paris,1924,Athletics,Athletics,"COCHRANE, Commodore",USA,Men,4x400m relay,M,Gold
Paris,1924,Athletics,Athletics,"HELFFRICH, Alan",USA,Men,4x400m relay,M,Gold
Paris,1924,Athletics,Athletics,"MACDONALD, J. Oliver",USA,Men,4x400m relay,M,Gold
Paris,1924,Athletics,Athletics,"STEPHENSON, William",USA,Men,4x400m relay,M,Gold
Paris,1924,Athletics,Athletics,"BYLEHN, Erik",SWE,Men,4x400m relay,M,Silver
Paris,1924,Athletics,Athletics,"ENGDAHL, Nils",SWE,Men,4x400m relay,M,Silver
Paris,1924,Athletics,Athletics,"SVENSSON, Arthur",SWE,Men,4x400m relay,M,Silver
Paris,1924,Athletics,Athletics,"WEIJNARTH, Gustaf",SWE,Men,4x400m relay,M,Silver
Paris,1924,Athletics,Athletics,"WIDE, Edvin",SWE,Men,5000m,M,Bronze
Paris,1924,Athletics,Athletics,"NURMI, Paavo",FIN,Men,5000m,M,Gold
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,5000m,M,Silver
Paris,1924,Athletics,Athletics,"ENCK, Schuyler",USA,Men,800m,M,Bronze
Paris,1924,Athletics,Athletics,"LOWE, Douglas Gordon",GBR,Men,800m,M,Gold
Paris,1924,Athletics,Athletics,"MARTIN, Paul",SUI,Men,800m,M,Silver
Paris,1924,Athletics,Athletics,"JOHNSON, Richard Earl",USA,Men,cross country individual,M,Bronze
Paris,1924,Athletics,Athletics,"NURMI, Paavo",FIN,Men,cross country individual,M,Gold
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,cross country individual,M,Silver
Paris,1924,Athletics,Athletics,"DOLQUES, L. Lucien",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"HEUET, Gaston",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"LAUSEIG, André",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"LAUVAUX, Henri",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"MARCHAL, Robert",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"NORLAND, Maurice",FRA,Men,cross country team,M,Bronze
Paris,1924,Athletics,Athletics,"BERG, Eero",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"LIIMATAINEN, Heikki",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"NURMI, Paavo",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"RASTAS, Eino",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"RITOLA, Ville",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"SIPILÄ, Väinö Jeremias",FIN,Men,cross country team,M,Gold
Paris,1924,Athletics,Athletics,"BOOTH, Verne Hobson",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"FAGER, August",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"GRAY, John",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"HENIGAN, James",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"JOHNSON, Richard Earl",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"STUDENROTH, Arthur",USA,Men,cross country team,M,Silver
Paris,1924,Athletics,Athletics,"KLUMBERG-KOLMPERE, Alexander",EST,Men,decathlon,M,Bronze
Paris,1924,Athletics,Athletics,"OSBORN, Harold Marion",USA,Men,decathlon,M,Gold
Paris,1924,Athletics,Athletics,"NORTON, Emerson",USA,Men,decathlon,M,Silver
Paris,1924,Athletics,Athletics,"LIEB, Thomas John",USA,Men,discus throw,M,Bronze
Paris,1924,Athletics,Athletics,"HOUSER, Lemuel Clarence",USA,Men,discus throw,M,Gold
Paris,1924,Athletics,Athletics,"NIITTYMAA, Vilho Aleksander",FIN,Men,discus throw,M,Silver
Paris,1924,Athletics,Athletics,"NOKES, Malcolm Cuthbert",GBR,Men,hammer throw,M,Bronze
Paris,1924,Athletics,Athletics,"TOOTELL, Frederick Delmont",USA,Men,hammer throw,M,Gold
Paris,1924,Athletics,Athletics,"MCGRATH, Matthew J.",USA,Men,hammer throw,M,Silver
Paris,1924,Athletics,Athletics,"LEWDEN, Pierre",FRA,Men,high jump,M,Bronze
Paris,1924,Athletics,Athletics,"OSBORN, Harold Marion",USA,Men,high jump,M,Gold
Paris,1924,Athletics,Athletics,"BROWN, Leroy Taylor",USA,Men,high jump,M,Silver
Paris,1924,Athletics,Athletics,"OBERST, Eugene",USA,Men,javelin throw,M,Bronze
Paris,1924,Athletics,Athletics,"MYYRÄ, Jonni",FIN,Men,javelin throw,M,Gold
Paris,1924,Athletics,Athletics,"LINDSTRÖM, Gunnar",SWE,Men,javelin throw,M,Silver
Paris,1924,Athletics,Athletics,"HANSEN, Sverre",NOR,Men,long jump,M,Bronze
Paris,1924,Athletics,Athletics,"HUBBARD, William De Hart",USA,Men,long jump,M,Gold
Paris,1924,Athletics,Athletics,"GOURDIN, Edward Orval",USA,Men,long jump,M,Silver
Paris,1924,Athletics,Athletics,"DE MAR, Clarence Harrison",USA,Men,marathon,M,Bronze
Paris,1924,Athletics,Athletics,"STENROOS, Albin Oskar",FIN,Men,marathon,M,Gold
Paris,1924,Athletics,Athletics,"BERTINI, Romeo",ITA,Men,marathon,M,Silver
Paris,1924,Athletics,Athletics,"LE GENDRE, Robert Lucien",USA,Men,pentathlon,M,Bronze
Paris,1924,Athletics,Athletics,"LEHTONEN, Eero Reino",FIN,Men,pentathlon,M,Gold
Paris,1924,Athletics,Athletics,"SOMFAY, Elemer",HUN,Men,pentathlon,M,Silver
Paris,1924,Athletics,Athletics,"BROOKER, James K.",USA,Men,pole vault,M,Bronze
Paris,1924,Athletics,Athletics,"BARNES, Lee",USA,Men,pole vault,M,Gold
Paris,1924,Athletics,Athletics,"GRAHAM, Glenn",USA,Men,pole vault,M,Silver
Paris,1924,Athletics,Athletics,"HILLS, Ralph Gorman",USA,Men,shot put,M,Bronze
Paris,1924,Athletics,Athletics,"HOUSER, Lemuel Clarence",USA,Men,shot put,M,Gold
Paris,1924,Athletics,Athletics,"HARTRANFT, Glenn",USA,Men,shot put,M,Silver
Paris,1924,Athletics,Athletics,"TUULOS, Vilho Immanuel",FIN,Men,triple jump,M,Bronze
Paris,1924,Athletics,Athletics,"WINTER, Anthony William",AUS,Men,triple jump,M,Gold
Paris,1924,Athletics,Athletics,"BRUNETO, Luis",ARG,Men,triple jump,M,Silver
Paris,1924,Boxing,Boxing,"FEE, Raymond",USA,Men,- 50.8kg (flyweight),M,Bronze
Paris,1924,Boxing,Boxing,"LA BARBA, Fidel",USA,Men,- 50.8kg (flyweight),M,Gold
Paris,1924,Boxing,Boxing,"MAC KENZIE, James",GBR,Men,- 50.8kg (flyweight),M,Silver
Paris,1924,Boxing,Boxing,"PORZIO, Alfredo",ARG,Men,+ 79.38kg (heavyweight),M,Bronze
Paris,1924,Boxing,Boxing,"VON PORAT, Otto",NOR,Men,+ 79.38kg (heavyweight),M,Gold
Paris,1924,Boxing,Boxing,"PETERSEN, Sören",DEN,Men,+ 79.38kg (heavyweight),M,Silver
Paris,1924,Boxing,Boxing,"CES, Jean",FRA,Men,50.8 - 53.52kg (bantamweight),M,Bronze
Paris,1924,Boxing,Boxing,"SMITH, William H.",RSA,Men,50.8 - 53.52kg (bantamweight),M,Gold
Paris,1924,Boxing,Boxing,"TRIPOLI, Salvatore",USA,Men,50.8 - 53.52kg (bantamweight),M,Silver
Paris,1924,Boxing,Boxing,"QUARTUCCI, Pedro",ARG,Men,53.52 - 57.15kg (featherweight),M,Bronze
Paris,1924,Boxing,Boxing,"FIELDS, John",USA,Men,53.52 - 57.15kg (featherweight),M,Gold
Paris,1924,Boxing,Boxing,"SALAS, Joseph",USA,Men,53.52 - 57.15kg (featherweight),M,Silver
Paris,1924,Boxing,Boxing,"BOYLSTEIN, Frederick",USA,Men,57.15 - 61.24kg (lightweight),M,Bronze
Paris,1924,Boxing,Boxing,"NIELSEN, Hans Jacob",DEN,Men,57.15 - 61.24kg (lightweight),M,Gold
Paris,1924,Boxing,Boxing,"COPELLO, Alfredo",ARG,Men,57.15 - 61.24kg (lightweight),M,Silver
Paris,1924,Boxing,Boxing,"LEWIS, Douglas",CAN,Men,61.24 - 66.68kg (welterweight),M,Bronze
Paris,1924,Boxing,Boxing,"DELARGE, Jean",BEL,Men,61.24 - 66.68kg (welterweight),M,Gold
Paris,1924,Boxing,Boxing,"MENDEZ, Hector",ARG,Men,61.24 - 66.68kg (welterweight),M,Silver
Paris,1924,Boxing,Boxing,"BEECKEN, Joseph Jules",BEL,Men,66.68 - 72.57kg (middleweight),M,Bronze
Paris,1924,Boxing,Boxing,"MALLIN, Harry William",GBR,Men,66.68 - 72.57kg (middleweight),M,Gold
Paris,1924,Boxing,Boxing,"ELLIOTT, John",GBR,Men,66.68 - 72.57kg (middleweight),M,Silver
Paris,1924,Boxing,Boxing,"SÖRSDAL, Sverre",NOR,Men,72.57 - 79.38kg (light-heavyweight),M,Bronze
Paris,1924,Boxing,Boxing,"MITCHELL, Harry",GBR,Men,72.57 - 79.38kg (light-heavyweight),M,Gold
Paris,1924,Boxing,Boxing,"PETERSEN, Thyge",DEN,Men,72.57 - 79.38kg (light-heavyweight),M,Silver
Paris,1924,Cycling,Cycling Road,"HAMEL, René",FRA,Men,individual road race,M,Bronze
Paris,1924,Cycling,Cycling Road,"BLANCHONNET, Armand",FRA,Men,individual road race,M,Gold
Paris,1924,Cycling,Cycling Road,"HOEVENAERS, Henri",BEL,Men,individual road race,M,Silver
Paris,1924,Cycling,Cycling Road,"BOHLIN, Eric",SWE,Men,team time trial,M,Bronze
Paris,1924,Cycling,Cycling Road,"MALM, Ragnar",SWE,Men,team time trial,M,Bronze
Paris,1924,Cycling,Cycling Road,"SKÖLD, Gunnar",SWE,Men,team time trial,M,Bronze
Paris,1924,Cycling,Cycling Road,"BLANCHONNET, Armand",FRA,Men,team time trial,M,Gold
Paris,1924,Cycling,Cycling Road,"HAMEL, René",FRA,Men,team time trial,M,Gold
Paris,1924,Cycling,Cycling Road,"WAMBST, Georges",FRA,Men,team time trial,M,Gold
Paris,1924,Cycling,Cycling Road,"HOEVENAERS, Henri",BEL,Men,team time trial,M,Silver
Paris,1924,Cycling,Cycling Road,"PARFONDRY, Alphonse",BEL,Men,team time trial,M,Silver
Paris,1924,Cycling,Cycling Road,"VAN DEN BOSCH, Jean",BEL,Men,team time trial,M,Silver
Paris,1924,Cycling,Cycling Track,"BOSCH VAN DRAKESTEIN, Gerald Henri",NED,Men,2000m tandem,M,Bronze
Paris,1924,Cycling,Cycling Track,"PEETERS, Mauritius",NED,Men,2000m tandem,M,Bronze
Paris,1924,Cycling,Cycling Track,"CHOURY, Lucien",FRA,Men,2000m tandem,M,Gold
